category	id	meta_count	total_papers	unique_authors
topics	https://openalex.org/T10015	341331	5000	23740
topics	https://openalex.org/T11986	169708	5000	21742
topics	https://openalex.org/T10887	148538	5000	25318
topics	https://openalex.org/T11710	134286	5000	18275
topics	https://openalex.org/T11937	87193	5000	17953
topics	https://openalex.org/T11642	87004	5000	36052
topics	https://openalex.org/T10521	432287	5000	19143
topics	https://openalex.org/T13937	208823	5000	15013
topics	https://openalex.org/T10211	319280	5000	22050
topics	https://openalex.org/T10044	236831	5000	12769
domains	https://openalex.org/domains/1	44019292	5000	26072
domains	https://openalex.org/domains/3	91867721	5000	15076
domains	https://openalex.org/domains/4	59614475	5000	32651
domains	https://openalex.org/domains/2	78970536	5000	10604
fields	https://openalex.org/fields/13	22389921	5000	27788
fields	https://openalex.org/fields/27	50364130	5000	34160
fields	https://openalex.org/fields/17	20548791	5000	11401
fields	https://openalex.org/fields/18	4066680	5000	9381
fields	https://openalex.org/fields/11	16713850	5000	20338
fields	https://openalex.org/fields/23	16943464	5000	18711
fields	https://openalex.org/fields/24	4328589	5000	28424
fields	https://openalex.org/fields/28	6223414	5000	17962
fields	https://openalex.org/fields/16	9697167	5000	13402
fields	https://openalex.org/fields/25	13171766	5000	15253
subfields	https://openalex.org/subfields/1312	13572514	5000	27745
subfields	https://openalex.org/subfields/1311	4687396	5000	29111
subfields	https://openalex.org/subfields/1802	1184795	5000	11094
subfields	https://openalex.org/subfields/1710	5677575	5000	10898
subfields	https://openalex.org/subfields/2303	3960618	5000	18060
subfields	https://openalex.org/subfields/1110	7074612	5000	20147
subfields	https://openalex.org/subfields/1306	1885640	5000	30708
subfields	https://openalex.org/subfields/2725	2581824	5000	36774
subfields	https://openalex.org/subfields/2403	2856697	5000	27411
subfields	https://openalex.org/subfields/1703	2440514	5000	10785
